Date,Open,High,Low,Close,Adj Close,Volume
5/9/2011,832.38,843.56,831.95,842.80,842.80,4265250000.00
5/6/2011,829.21,843.53,829.21,833.34,833.34,4223740000.00
5/5/2011,828.21,840.60,825.55,829.24,829.24,3846250000.00
5/4/2011,843.88,843.88,828.86,832.90,832.90,4223740000.00
5/3/2011,853.08,854.79,838.86,843.77,843.77,4223740000.00
5/2/2011,865.59,868.57,854.28,854.77,854.77,3846250000.00
4/29/2011,862.96,866.90,860.65,865.29,865.29,3479070000.00
4/28/2011,857.20,861.55,856.30,861.55,861.55,4036820000.00
4/27/2011,852.96,858.42,850.07,858.31,858.31,4051570000.00
4/26/2011,845.98,856.84,845.25,853.04,853.04,3908060000.00
4/25/2011,844.50,845.58,839.39,844.23,844.23,2142130000.00
4/21/2011,843.18,845.64,839.30,845.64,845.64,3587240000.00
4/20/2011,825.98,839.45,825.98,839.45,839.45,4236280000.00
4/19/2011,821.50,827.30,818.27,823.01,823.01,3886300000.00
4/18/2011,826.99,826.99,816.07,821.51,821.51,4223740000.00
4/15/2011,825.90,835.27,824.39,834.98,834.98,4223740000.00
4/14/2011,818.46,827.63,816.50,827.47,827.47,3872630000.00
4/13/2011,827.64,829.28,818.50,823.92,823.92,3850860000.00
4/12/2011,830.18,830.98,822.27,822.27,822.27,4275490000.00
4/11/2011,841.54,843.10,830.85,833.86,833.86,3478970000.00
4/8/2011,854.05,854.05,837.92,840.89,840.89,3582810000.00
4/7/2011,854.06,857.92,848.32,849.44,849.44,4005600000.00
4/6/2011,856.72,859.08,850.53,854.17,854.17,4223740000.00
4/5/2011,849.33,858.05,847.47,853.31,853.31,3852280000.00
4/4/2011,846.74,850.52,846.74,849.36,849.36,4223740000.00
4/1/2011,847.87,850.73,844.11,846.77,846.77,4223740000.00
3/31/2011,839.58,843.73,838.49,843.55,843.55,3566270000.00
3/30/2011,833.02,840.76,832.76,840.37,840.37,3809570000.00
3/29/2011,820.97,829.70,818.32,829.49,829.49,3482580000.00
3/28/2011,826.21,828.73,821.48,821.77,821.77,3215170000.00
3/25/2011,820.52,831.63,818.54,823.85,823.85,4223740000.00
3/24/2011,815.57,818.91,809.92,817.10,817.10,4223740000.00
3/23/2011,806.92,813.07,799.23,811.24,811.24,3842350000.00
3/22/2011,813.71,814.88,807.16,808.66,808.66,3576550000.00
3/21/2011,801.75,813.02,801.75,813.02,813.02,4223730000.00
3/18/2011,789.87,795.52,789.87,794.66,794.66,4685500000.00
3/17/2011,790.82,793.33,785.43,785.52,785.52,4134950000.00
3/16/2011,790.70,795.96,778.80,781.90,781.90,5833000000.00
3/15/2011,786.06,796.38,775.90,791.33,791.33,5201400000.00
3/14/2011,802.81,802.81,790.36,798.17,798.17,4050370000.00
3/11/2011,796.00,806.83,794.62,802.83,802.83,3740400000.00
3/10/2011,812.76,812.76,798.47,799.53,799.53,4723020000.00
3/9/2011,822.46,825.25,818.54,821.19,821.19,3709520000.00
3/8/2011,812.38,827.80,807.18,824.66,824.66,4531420000.00
3/7/2011,825.64,828.34,805.37,812.25,812.25,3964730000.00
3/4/2011,828.87,828.92,817.83,824.99,824.99,4223740000.00
3/3/2011,810.89,830.04,810.89,828.89,828.89,4340470000.00
3/2/2011,806.18,813.80,804.11,810.90,810.90,1025000000.00
3/1/2011,825.24,825.79,804.93,807.08,807.08,1180420000.00
2/28/2011,825.86,828.43,817.34,823.45,823.45,1252850000.00
2/25/2011,806.70,822.05,806.70,821.95,821.95,3836030000.00
2/24/2011,799.66,807.05,795.25,804.18,804.18,1222900000.00
2/23/2011,813.16,814.44,794.48,799.65,799.65,1330340000.00
2/22/2011,828.22,830.14,812.57,812.96,812.96,1322780000.00
2/18/2011,836.56,838.00,832.01,834.82,834.82,1162310000.00
2/17/2011,827.54,835.52,826.80,834.02,834.02,1966450000.00
2/16/2011,823.31,828.59,823.31,828.37,828.37,1966450000.00
2/15/2011,824.66,824.97,819.41,820.03,820.03,3926860000.00
2/14/2011,822.22,826.46,822.22,825.90,825.90,3567040000.00
2/11/2011,809.80,822.11,809.80,822.11,822.11,4219300000.00
2/10/2011,804.77,813.36,804.18,812.70,812.70,4184610000.00
2/9/2011,810.90,813.36,806.07,809.27,809.27,3922240000.00
2/8/2011,808.10,813.69,805.35,813.69,813.69,3881530000.00
2/7/2011,801.15,812.68,801.15,808.32,808.32,3902270000.00
2/4/2011,798.99,800.88,794.61,800.11,800.11,3925950000.00
2/3/2011,796.12,799.20,787.79,798.63,798.63,4370990000.00
2/2/2011,796.91,801.48,795.50,796.16,796.16,4098260000.00
2/1/2011,785.29,800.54,785.29,798.89,798.89,5164500000.00
1/31/2011,778.40,785.47,774.85,781.25,781.25,4167160000.00
1/28/2011,795.77,796.04,775.40,775.40,775.40,5618630000.00
1/27/2011,793.71,797.53,789.66,795.43,795.43,4309190000.00
1/26/2011,781.66,793.93,779.97,793.72,793.72,4730980000.00
1/25/2011,775.65,780.06,771.71,779.96,779.96,4595380000.00
1/24/2011,773.71,781.52,772.72,779.28,779.28,3902470000.00
1/21/2011,781.96,786.89,773.12,773.18,773.18,4935320000.00
1/20/2011,781.96,785.78,775.58,778.08,778.08,4935320000.00
1/19/2011,806.68,807.21,785.85,786.89,786.89,4743710000.00
1/18/2011,807.57,807.66,801.04,807.56,807.56,5284990000.00
1/14/2011,800.65,807.89,799.05,807.57,807.57,4661590000.00
1/13/2011,801.36,803.82,797.50,800.65,800.65,4310840000.00
1/12/2011,795.82,802.40,795.82,801.36,801.36,4226940000.00
1/11/2011,794.56,797.86,790.99,794.76,794.76,4050750000.00
1/10/2011,784.51,793.80,778.89,791.58,791.58,4036450000.00
1/7/2011,792.45,794.66,777.06,787.83,787.83,4963110000.00
1/6/2011,795.56,796.33,788.58,791.42,791.42,4844100000.00
1/5/2011,784.25,795.09,783.02,795.09,795.09,4764920000.00
1/4/2011,798.54,801.13,778.17,785.83,785.83,4796420000.00
1/3/2011,793.54,800.94,790.94,798.56,798.56,4286670000.00
12/31/2010,788.97,789.82,783.65,783.65,783.65,1799770000.00
12/30/2010,789.84,793.04,789.66,789.74,789.74,1970720000.00
12/29/2010,789.81,791.57,789.75,790.26,790.26,2214380000.00
12/28/2010,793.18,793.22,787.99,789.46,789.46,2478450000.00
12/27/2010,786.90,792.54,784.91,792.35,792.35,1992470000.00
12/23/2010,790.63,792.22,788.32,788.96,788.96,2515020000.00
12/22/2010,790.46,793.28,789.43,790.59,790.59,1285590000.00
12/21/2010,785.61,790.67,784.90,790.52,790.52,3479670000.00
12/20/2010,779.51,785.86,778.79,782.30,782.30,3548140000.00
12/17/2010,777.08,779.55,772.74,779.51,779.51,4632470000.00
12/16/2010,771.04,778.29,767.73,776.56,776.56,4736820000.00
12/15/2010,771.04,778.29,767.91,768.36,768.36,4407340000.00
12/14/2010,774.07,775.19,770.32,771.66,771.66,4132350000.00
12/13/2010,777.04,779.86,772.10,772.10,772.10,4361240000.00
12/10/2010,768.22,777.56,766.80,776.83,776.83,4547310000.00
12/9/2010,768.64,768.87,763.70,767.63,767.63,4522510000.00
12/8/2010,766.18,767.97,762.36,764.04,764.04,4607590000.00
