Date,Open,High,Low,Close,Adj Close,Volume
10/8/2018,26399.45,26529.35,26223.09,26486.78,26486.78,"273,020,000"
10/9/2018,26469.19,26539.94,26324.16,26430.57,26430.57,"282,560,000"
10/10/2018,26441.73,26487.87,25567.1,25598.74,25598.74,"438,200,000"
10/11/2018,25518.39,25683.64,24899.77,25052.83,25052.83,"522,880,000"
10/12/2018,25407.63,25467.55,25000.83,25339.99,25339.99,"397,510,000"
10/15/2018,25332.46,25482.42,25243.88,25250.55,25250.55,"287,320,000"
10/16/2018,25351.53,25817.68,25351.53,25798.42,25798.42,"305,800,000"
10/17/2018,25705.87,25810.09,25479.16,25706.68,25706.68,"298,210,000"
10/18/2018,25645.56,25691.46,25236.01,25379.45,25379.45,"328,020,000"
10/19/2018,25421.09,25608.71,25350.02,25444.34,25444.34,"350,810,000"
10/22/2018,25492.14,25561.34,25236.05,25317.41,25317.41,"314,940,000"
10/23/2018,25038.46,25307.7,24768.79,25191.43,25191.43,"436,430,000"
10/24/2018,25172.88,25306.23,24533.19,24583.42,24583.42,"496,400,000"
10/25/2018,24736.54,25104.29,24645.56,24984.55,24984.55,"439,670,000"
10/26/2018,24770.25,24916.16,24445.19,24688.31,24688.31,"505,310,000"
10/29/2018,24818.98,25040.58,24122.23,24442.92,24442.92,"443,850,000"
10/30/2018,24482.04,24906.68,24415.69,24874.64,24874.64,"470,050,000"
10/31/2018,25008.82,25336.55,25008.82,25115.76,25115.76,"448,930,000"
11/1/2018,25142.08,25396.47,25108.11,25380.74,25380.74,"383,970,000"
11/2/2018,25443.6,25578.98,25078.72,25270.83,25270.83,"429,480,000"
11/5/2018,25261.47,25507.35,25261.47,25461.7,25461.7,"334,740,000"
11/6/2018,25452.83,25651.86,25444.9,25635.01,25635.01,"265,450,000"
11/7/2018,25788.46,26200.14,25765.88,26180.3,26180.3,"361,780,000"
11/8/2018,26139.59,26277.82,26081.9,26191.22,26191.22,"295,650,000"
11/9/2018,26149.11,26161.49,25882.91,25989.3,25989.3,"324,450,000"
11/12/2018,25959.33,25966.71,25340.51,25387.18,25387.18,"346,910,000"
11/13/2018,25321.21,25511.03,25193.78,25286.49,25286.49,"339,690,000"
11/14/2018,25388.08,25501.29,24935.82,25080.5,25080.5,"384,240,000"
11/15/2018,25061.48,25354.56,24787.79,25289.27,25289.27,"392,750,000"
11/16/2018,25242.35,25510.23,25147.8,25413.22,25413.22,"354,460,000"
11/19/2018,25392.61,25392.61,24900.98,25017.44,25017.44,"358,090,000"
11/20/2018,24618.68,24707.26,24368.98,24465.64,24465.64,"445,920,000"
11/21/2018,24541.65,24669.79,24463.28,24464.69,24464.69,"289,370,000"
11/23/2018,24336.4,24408.8,24268.74,24285.95,24285.95,"155,940,000"
11/26/2018,24364.13,24673.29,24364.13,24640.24,24640.24,"306,280,000"
11/27/2018,24557.02,24750.73,24416.03,24748.73,24748.73,"308,250,000"
11/28/2018,24832.84,25368.93,24832.84,25366.43,25366.43,"362,160,000"
11/29/2018,25343.65,25479.04,25202.79,25338.84,25338.84,"305,110,000"
11/30/2018,25307.14,25549.71,25250.97,25538.46,25538.46,"482,250,000"
12/3/2018,25779.57,25980.21,25670.51,25826.43,25826.43,"388,480,000"
12/4/2018,25752.56,25773.12,25008.11,25027.07,25027.07,"418,900,000"
12/6/2018,24737.42,24951.01,24242.22,24947.67,24947.67,"471,690,000"
12/7/2018,24918.82,25095.62,24284.78,24388.95,24388.95,"398,230,000"
12/10/2018,24360.95,24500.81,23881.37,24423.26,24423.26,"389,690,000"
12/11/2018,24719.91,24791.26,24221.06,24370.24,24370.24,"342,960,000"
12/12/2018,24509.09,24828.29,24509.09,24527.27,24527.27,"344,330,000"
12/13/2018,24575.86,24740.96,24473.29,24597.38,24597.38,"299,970,000"
12/14/2018,24408.04,24431.14,24033.79,24100.51,24100.51,"416,940,000"
12/17/2018,23986.83,24088.08,23456.88,23592.98,23592.98,"466,740,000"
12/18/2018,23769.13,23927.77,23516.02,23675.64,23675.64,"408,070,000"
12/19/2018,23693.33,24057.34,23162.64,23323.66,23323.66,"503,550,000"
12/20/2018,23224.12,23282.2,22644.31,22859.6,22859.6,"576,700,000"
12/21/2018,22871.74,23254.59,22396.34,22445.37,22445.37,"900,510,000"
12/24/2018,22317.28,22339.87,21792.2,21792.2,21792.2,"308,420,000"
12/26/2018,21857.73,22878.92,21712.53,22878.45,22878.45,"433,080,000"
12/27/2018,22629.06,23138.89,22267.42,23138.82,23138.82,"407,940,000"
12/28/2018,23213.61,23381.88,22981.33,23062.4,23062.4,"336,510,000"
12/31/2018,23153.94,23333.18,23118.3,23327.46,23327.46,"288,830,000"
1/2/2019,23058.61,23413.47,22928.59,23346.24,23346.24,"321,570,000"
1/3/2019,23176.39,23176.39,22638.41,22686.22,22686.22,"424,240,000"
1/4/2019,22894.92,23518.64,22894.92,23433.16,23433.16,"396,020,000"
1/7/2019,23474.26,23687.74,23301.59,23531.35,23531.35,"334,200,000"
1/8/2019,23680.32,23864.65,23581.45,23787.45,23787.45,"317,420,000"
1/9/2019,23844.27,24084.71,23703.16,23879.12,23879.12,"324,570,000"
1/10/2019,23811.11,24014.78,23703.25,24001.92,24001.92,"338,150,000"
1/11/2019,23940.01,23996.32,23798.16,23995.95,23995.95,"262,650,000"
1/14/2019,23880.53,23964.9,23765.24,23909.84,23909.84,"277,560,000"
1/15/2019,23914.11,24099.14,23887.93,24065.59,24065.59,"291,570,000"
1/16/2019,24139.91,24288.61,24119.72,24207.16,24207.16,"302,830,000"
1/17/2019,24147.09,24474.46,24088.9,24370.1,24370.1,"288,590,000"
1/18/2019,24534.19,24750.22,24459.03,24706.35,24706.35,"372,970,000"
1/22/2019,24607.76,24607.76,24244.31,24404.48,24404.48,"338,480,000"
1/23/2019,24577.25,24700.98,24307.17,24575.62,24575.62,"318,600,000"
1/24/2019,24579.96,24626.3,24422.73,24553.24,24553.24,"320,170,000"
1/25/2019,24687.21,24860.15,24676.75,24737.2,24737.2,"376,890,000"
1/28/2019,24596.98,24596.98,24323.94,24528.22,24528.22,"347,170,000"
1/29/2019,24519.62,24674.87,24504.04,24579.96,24579.96,"330,870,000"
1/30/2019,24826.52,25109.62,24790.9,25014.86,25014.86,"397,330,000"
1/31/2019,24954.48,25049.62,24842.09,24999.67,24999.67,"507,350,000"
