stock,direction,LastSale
CTAS,negative,192.5
CRUS,positive,39.69
CSCO,positive,42.5
CTRN,negative,27.48
CTXR,negative,2.65
CTXRW,positive,0.4
CZNC,negative,27.23
CZWI,positive,14.2
CZFC,negative,26.05
CIZN,positive,22.5
CTXS,positive,109.97
CHCO,positive,76.2
CIVB,positive,24.68
CIVBP,negative,72
CLAR,negative,8.15
CLNE,positive,2.64
CACG,positive,30.9039
YLDE,negative,27.84
LRGE,positive,32.8599
CLFD,positive,11.4
CLRO,negative,3.59
CLSD,negative,10.63
CLIR,positive,1.95
CLIRW,negative,0.4399
CMTA,positive,10.71
CBLI,negative,2.36
CLVS,positive,45.94
CLPS,positive,13.75
CMFN,positive,8.85
CMFNL,positive,25.08
CMSS,negative,9.88
CMSSR,negative,0.36
CMSSU,positive,10.33
CMSSW,positive,0.38
CME,negative,168.22
CCNE,positive,30.72
CWAY,positive,27.8
COBZ,negative,21.7
COKE,negative,134.13
COCP,positive,4.34
CODA,negative,6.15
CDXS,positive,15.2
CODX,negative,3.4202
CVLY,negative,30.19
JVA,positive,5.6
CCOI,positive,54.1
CGNX,negative,45.43
CTSH,positive,81.96
CWBR,positive,5.7
COHR,negative,160.18
CHRS,negative,14.85
COHU,positive,25.45
CLCT,negative,13.82
COLL,positive,19.4
CIGI,negative,80.3
CLGN,positive,5.59
CBAN,positive,17.6
COLB,positive,40.98
CLBK,positive,16.4
COLM,negative,92.53
CMCO,negative,41.84
CMCSA,positive,34.97
CCNI,positive,6.0517
CBSH,negative,68.48
CBSHP,positive,25.92
CVGI,positive,7.14
COMM,negative,29.27
JCS,negative,3.69
ESXB,positive,9.85
CFBI,negative,11.67
CYHHZ,positive,0.015
CTBI,negative,50.6
CWBC,positive,11.85
CVLT,positive,69.85
CGEN,positive,3.2
CPSI,positive,34.05
CTG,negative,8.09
SCOR,negative,21.45
CHCI,positive,2.42
CMTL,positive,34.53
CNAT,negative,4.49
CNCE,positive,16.7
CDOR,positive,10.55
CFMS,negative,1.17
CNFR,negative,6.5
CNMD,positive,73.15
CTWS,negative,66.38
CNOB,positive,25.45
CONN,negative,37.2
