Symbol,Date,Open,High,Low,Close,Adj Close,Volume
FOXA,6/27/2018,48.48,49.049999,47.889999,48.799999,48.799999,29347100
FOXA,6/28/2018,49.130001,49.830002,49.060001,49.790001,49.790001,16554100
FOXA,6/29/2018,49.610001,50.150002,49.48,49.689999,49.689999,13211400
FOXA,7/2/2018,49.560001,49.880001,48.93,49.200001,49.200001,11455000
FOXA,7/3/2018,49.400002,49.5,48.389999,48.599998,48.599998,7087700
FOXA,7/5/2018,49.040001,49.080002,48.290001,48.740002,48.740002,13220900
FOXA,7/6/2018,48.860001,49.150002,48.59,48.93,48.93,14853100
FOXA,7/9/2018,48.919998,49.59,48.48,49.560001,49.560001,12522000
FOXA,7/10/2018,49.560001,50.060001,49.549999,49.77,49.77,12638500
FOXA,7/11/2018,49.299999,49.32,47.240002,47.790001,47.790001,37977100
FOXA,7/12/2018,47.970001,48.060001,47.25,47.380001,47.380001,21256000
FOXA,7/13/2018,47.110001,47.630001,46.98,47.560001,47.560001,21135000
FOXA,7/16/2018,47.48,47.509998,46.279999,46.709999,46.709999,18565900
FOXA,7/17/2018,46.450001,46.889999,46.380001,46.470001,46.470001,13024100
FOXA,7/18/2018,46.360001,46.830002,46.360001,46.68,46.68,7698200
FOXA,7/19/2018,46,46.650002,45.709999,46.650002,46.650002,41717100
HES,6/20/2018,62.299999,63.16,61.720001,62.639999,62.639999,5572100
HES,6/21/2018,62.209999,62.310001,61.360001,61.709999,61.709999,3545600
HES,6/22/2018,63.599998,65.220001,63.290001,64.57,64.57,6791900
HES,6/25/2018,64.169998,64.580002,62.139999,62.290001,62.290001,4374900
HES,6/26/2018,62.720001,63.959999,61.91,63.77,63.77,2553800
HES,6/27/2018,64.889999,67.150002,64.849998,65.57,65.57,5399900
HES,6/28/2018,65.93,66.330002,64.879997,65.559998,65.559998,3294400
HES,6/29/2018,66.269997,68.400002,66.089996,66.889999,66.889999,5443100
HES,7/2/2018,65.870003,66.230003,64.440002,64.889999,64.889999,3023800
HES,7/3/2018,65.910004,67.68,65.559998,65.959999,65.959999,1713400
HES,7/5/2018,66.620003,66.919998,65.82,66.379997,66.379997,2664300
HES,7/6/2018,65.709999,67.889999,65.629997,67.550003,67.550003,2138700
HES,7/9/2018,68.150002,69.25,67.779999,69.209999,69.209999,2639300
HES,7/10/2018,69.900002,71.139999,69,69.599998,69.599998,2530800
HES,7/11/2018,68.480003,69.019997,66.019997,66.82,66.82,3845100
HES,7/12/2018,67.419998,67.779999,65.650002,66.739998,66.739998,3117500
HES,7/13/2018,66.809998,67.459999,66.400002,66.540001,66.540001,3040900
HES,7/16/2018,65.129997,65.809998,63.369999,63.880001,63.880001,3649000
HES,7/17/2018,63.220001,63.84,62.619999,63.459999,63.459999,3666400
HES,7/18/2018,63.080002,64.440002,62.02,64.139999,64.139999,2801100
HES,7/19/2018,64.139999,65,64.089996,64.5,64.5,2442700
IDXX,6/20/2018,225.550003,227.389999,224.5,224.979996,224.979996,245500
IDXX,6/21/2018,225.110001,226.539993,220.710007,221.910004,221.910004,255800
IDXX,6/22/2018,222.479996,224.169998,220.639999,222.899994,222.899994,520100
IDXX,6/25/2018,222.029999,223.75,216.110001,217.490005,217.490005,401800
IDXX,6/26/2018,217.779999,219.779999,216.759995,217.339996,217.339996,428700
IDXX,6/27/2018,218.309998,219.429993,211.660004,212.740005,212.740005,416300
IDXX,6/28/2018,212.330002,218.699997,212.330002,217.470001,217.470001,314400
IDXX,6/29/2018,217.940002,220.860001,217.330002,217.940002,217.940002,475400
IDXX,7/2/2018,216.830002,221.5,215.279999,221.279999,221.279999,325500
IDXX,7/3/2018,222.089996,222.729996,218.029999,218.820007,218.820007,234000
