Academic Year,TAP College Code,Federal School Code,TAP College Name ,Sector Type,TAP Sector Group,TAP Recipient Headcount,TAP Recipient FTEs,TAP Recipient Dollars
2014,695,2817,ST BONAVENTURE UNIVERSITY UG,PRIVATE,5-INDEPENDENT,608,572.88,1415741
2014,710,6461,ST ELIZABETH COLLEGE OF NURSING,PRIVATE,5-INDEPENDENT,48,39.33,122462
2014,715,2820,ST FRANCIS COLLEGE,PRIVATE,5-INDEPENDENT,1191,1057.25,3530886
2014,1650,5064,ST JAMES MERCY HOSP SCH XRAY TECH,PRIVATE,8-OTHER,5,2.5,4943
2014,735,2821,ST JOHN FISHER COLLEGE UNDERGRAD,PRIVATE,5-INDEPENDENT,1296,1178.13,2760873
2014,745,6443,ST JOHN'S RIVERSIDE HOSP NURS,PRIVATE,5-INDEPENDENT,21,12,43916
2014,751,2823,ST JOHNS UNIVERSITY 4YR UG,PRIVATE,5-INDEPENDENT,3854,3587.17,11854258
2014,1580,2823,ST JOHNS UNIVERSITY PHYS ASSIST,PRIVATE,8-OTHER,1,0.5,250
2014,765,6467,ST JOSEPH COL NUR AT ST JOS HOSP,PRIVATE,5-INDEPENDENT,98,88.33,200030
2014,755,2825,ST JOSEPHS COLL BROOKLYN 4YR UG,PRIVATE,5-INDEPENDENT,464,422.58,1431059
2014,758,2825,ST JOSEPHS COLL PATCHOGUE UG,PRIVATE,5-INDEPENDENT,1046,926.08,2408189
2014,762,2825,ST JOSEPHS COLL PATCHOGUE WEEKEND,PRIVATE,5-INDEPENDENT,15,8.67,31414
2014,775,2829,ST LAWRENCE UNIVERSITY 4YR UG,PRIVATE,5-INDEPENDENT,409,394.5,1152784
2014,437,12364,ST PAUL'S SCH NURSING,PRIVATE,5-INDEPENDENT,114,76.75,246374
2014,438,12364,ST PAUL'S SCH NURSING MED ASSIST,PRIVATE,5-INDEPENDENT,83,60.83,189924
2014,838,9479,ST PAUL'S SCH NURSING MED/DENTAL,PRIVATE,5-INDEPENDENT,162,121.67,395742
