userId,movieId,rating,addedOn,addedBy,updatedOn,updatedBy
7,2,2,2021-02-14,Admin,NULL,NULL
7,3,2,2021-02-14,Admin,NULL,NULL
7,4,3,2021-02-14,Admin,NULL,NULL
7,5,1,2021-02-14,Admin,NULL,NULL
7,6,2,2021-02-14,Admin,NULL,NULL
7,7,3,2021-02-14,Admin,NULL,NULL
7,8,3,2021-02-14,Admin,NULL,NULL
7,9,3,2021-02-14,Admin,NULL,NULL
8,1,2,2021-02-14,Admin,NULL,NULL
8,2,1,2021-02-14,Admin,NULL,NULL
8,3,1,2021-02-14,Admin,NULL,NULL
8,4,3,2021-02-14,Admin,NULL,NULL
8,5,1,2021-02-14,Admin,NULL,NULL
8,6,2,2021-02-14,Admin,NULL,NULL
8,7,2,2021-02-14,Admin,NULL,NULL
8,8,3,2021-02-14,Admin,NULL,NULL
8,9,2,2021-02-14,Admin,NULL,NULL
9,1,1,2021-02-14,Admin,NULL,NULL
9,2,2,2021-02-14,Admin,NULL,NULL
9,3,2,2021-02-14,Admin,NULL,NULL
9,4,1,2021-02-14,Admin,NULL,NULL
9,5,1,2021-02-14,Admin,NULL,NULL
9,6,3,2021-02-14,Admin,NULL,NULL
9,7,3,2021-02-14,Admin,NULL,NULL
9,8,3,2021-02-14,Admin,NULL,NULL
9,9,3,2021-02-14,Admin,NULL,NULL
10,1,2,2021-02-14,Admin,NULL,NULL
10,2,2,2021-02-14,Admin,NULL,NULL
10,3,1,2021-02-14,Admin,NULL,NULL
10,4,1,2021-02-14,Admin,NULL,NULL
10,5,2,2021-02-14,Admin,NULL,NULL
10,6,3,2021-02-14,Admin,NULL,NULL
10,7,3,2021-02-14,Admin,NULL,NULL
10,8,3,2021-02-14,Admin,NULL,NULL
10,9,3,2021-02-14,Admin,NULL,NULL
11,1,2,2021-02-14,Admin,NULL,NULL
11,2,2,2021-02-14,Admin,NULL,NULL
11,3,3,2021-02-14,Admin,NULL,NULL
11,4,3,2021-02-14,Admin,NULL,NULL
11,5,3,2021-02-14,Admin,NULL,NULL
11,6,1,2021-02-14,Admin,NULL,NULL
11,7,2,2021-02-14,Admin,NULL,NULL
11,8,3,2021-02-14,Admin,NULL,NULL
11,9,3,2021-02-14,Admin,NULL,NULL
12,1,1,2021-02-14,Admin,NULL,NULL
12,2,1,2021-02-14,Admin,NULL,NULL
12,3,1,2021-02-14,Admin,NULL,NULL
12,4,3,2021-02-14,Admin,NULL,NULL
12,5,3,2021-02-14,Admin,NULL,NULL
12,6,1,2021-02-14,Admin,NULL,NULL
12,7,3,2021-02-14,Admin,NULL,NULL
12,8,3,2021-02-14,Admin,NULL,NULL
12,9,5,2021-02-14,Admin,NULL,NULL
13,1,2,2021-02-14,Admin,NULL,NULL
13,2,2,2021-02-14,Admin,NULL,NULL
13,3,1,2021-02-14,Admin,NULL,NULL
13,4,2,2021-02-14,Admin,NULL,NULL
13,5,3,2021-02-14,Admin,NULL,NULL
13,6,2,2021-02-14,Admin,NULL,NULL
13,7,3,2021-02-14,Admin,NULL,NULL
13,8,3,2021-02-14,Admin,NULL,NULL
13,9,3,2021-02-14,Admin,NULL,NULL
14,1,NULL,2021-02-14,Admin,NULL,NULL
14,2,NULL,2021-02-14,Admin,NULL,NULL
14,3,NULL,2021-02-14,Admin,NULL,NULL
14,4,NULL,2021-02-14,Admin,NULL,NULL
14,5,1,2021-02-14,Admin,NULL,NULL
14,6,NULL,2021-02-14,Admin,NULL,NULL
14,7,NULL,2021-02-14,Admin,NULL,NULL
14,8,NULL,2021-02-14,Admin,NULL,NULL
14,9,NULL,2021-02-14,Admin,NULL,NULL
15,1,4,2021-02-14,Admin,NULL,NULL
15,2,2,2021-02-14,Admin,NULL,NULL
15,3,2,2021-02-14,Admin,NULL,NULL
15,4,2,2021-02-14,Admin,NULL,NULL
15,5,3,2021-02-14,Admin,NULL,NULL
15,6,1,2021-02-14,Admin,NULL,NULL
15,7,1,2021-02-14,Admin,NULL,NULL
15,8,2,2021-02-14,Admin,NULL,NULL
15,9,3,2021-02-14,Admin,NULL,NULL
16,1,2,2021-02-14,Admin,NULL,NULL
16,2,NULL,2021-02-14,Admin,NULL,NULL
16,3,1,2021-02-14,Admin,NULL,NULL
16,4,2,2021-02-14,Admin,NULL,NULL
16,5,2,2021-02-14,Admin,NULL,NULL
16,6,3,2021-02-14,Admin,NULL,NULL
16,7,NULL,2021-02-14,Admin,NULL,NULL
16,8,NULL,2021-02-14,Admin,NULL,NULL
16,9,NULL,2021-02-14,Admin,NULL,NULL
17,1,3,2021-02-14,Admin,NULL,NULL
17,2,3,2021-02-14,Admin,NULL,NULL
17,3,3,2021-02-14,Admin,NULL,NULL
17,4,3,2021-02-14,Admin,NULL,NULL
17,5,2,2021-02-14,Admin,NULL,NULL
17,6,3,2021-02-14,Admin,NULL,NULL
17,7,3,2021-02-14,Admin,NULL,NULL
17,8,3,2021-02-14,Admin,NULL,NULL
17,9,4,2021-02-14,Admin,NULL,NULL
18,1,4,2021-02-14,Admin,NULL,NULL
18,2,2,2021-02-14,Admin,NULL,NULL
18,3,2,2021-02-14,Admin,NULL,NULL
18,4,3,2021-02-14,Admin,NULL,NULL
